Name,Path,Description
Managed Objects,"DC=corp,DC=global,DC=ads",
Admins,"OU=Managed Objects,DC=corp,DC=global,DC=ads",
Users,"OU=Admins,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Groups,"OU=Admins,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Service Accounts,"OU=Admins,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Vendors,"OU=Admins,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Contractors,"OU=Admins,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Contacts,"OU=Admins,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Resource Rooms,"OU=Admins,OU=Managed Objects,DC=corp,DC=global,DC=ads",
STL,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Eureka MO
Users,"OU=STL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=STL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=STL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=STL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=STL,OU=Managed Objects,DC=corp,DC=global,DC=ads",
ALP,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Alpharetta  GA
Users,"OU=ALP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=ALP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=ALP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=ALP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=ALP,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Azure,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Azure
Users,"OU=Azure,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=Azure,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=Azure,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=Azure,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=Azure,OU=Managed Objects,DC=corp,DC=global,DC=ads",
BNK,"OU=Managed Objects,DC=corp,DC=global,DC=ads",Chonburi Thailand
Users,"OU=BNK,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Security Groups,"OU=BNK,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Disabled Objects,"OU=BNK,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Servers,"OU=BNK,OU=Managed Objects,DC=corp,DC=global,DC=ads",
Workstations,"OU=BNK,OU=Managed Objects,DC=corp,DC=global,DC=ads",
