name,description
ALP,Alpharetta  GA
Azure,Azure
BNK,Chonburi Thailand
CHI,Lombard IL
GRO,Großmehring Germany
MIS,Mississauga Canada
MLB,Broadmeadows Austrailia
MOD,Meadows of Dan VA
MZK,Mainz-Kastel Germany
OAK,Oak Brook IL
WAL,Aldridge UK
APP,Appleton WI
CAM,Camas WA
CLV,Cleveland OH
EDG,Edgerton WI
GVL,Greenville WI
KEN,Keene NH
MAN,Mansfield TX
NEE,Neenah WI
OKC,Oklahoma City OK
TPC,Tier Point Colo OK
WAU,Wauconda IL
GRU,Guarulhos Brazil
JAR,Jardim Danfer Brazil
AHA,Ahaus Germany
KHM,Kelkheim Germany
POZ,Poznan Poland
STL,Eureka MO
